ImageNumber,ObjectNumber,Intensity_MeanIntensity_BGS_mt,Intensity_MeanIntensity_BGS_other,Number_Object_Number
2,21,0.007359320484475913,0.002469072399618638,21
2,22,0.02462017452530796,0.00347908226294077,22
2,23,0.0052756739413345475,0.0021075673703782505,23
2,24,0.005877774008836148,0.0021548115065987464,24
2,25,0.00801923830726286,0.002613531511487525,25
2,26,0.009802162491479508,0.0028161267498367343,26
2,27,0.007971303810112554,0.00237411218958706,27
2,28,0.022848753290757553,0.0028808046361847688,28
2,29,0.022733065693055783,0.004918844974871566,29
2,30,0.008194906069741895,0.0025105516448901554,30
2,31,0.00821297839014822,0.0027156410279688663,31
2,32,0.03969946482232562,0.003128088763785739,32
2,33,0.006232700019015228,0.0022101275854784406,33
2,34,0.007213961001982111,0.002403846675434105,34
2,35,0.007013159726281461,0.0022855987973013675,35
2,36,0.005376604759078195,0.0020920663905937514,36
2,37,0.00646448428447389,0.0024217767511437154,37
